city,timestamp,temperature,season
New York,2010-01-01,-1.230495442740716,winter
New York,2010-01-02,-3.515946919844245,winter
New York,2010-01-03,3.699102442368309,winter
New York,2010-01-04,3.068969076036905,winter
New York,2010-01-05,1.1410901003003207,winter
New York,2010-01-06,1.5578170857954279,winter
New York,2010-01-07,-3.4984879102298585,winter
New York,2010-01-08,6.954147480512009,winter
New York,2010-01-09,-8.021338383614344,winter
New York,2010-01-10,2.9463575175206302,winter
New York,2010-01-11,-0.9625776737992462,winter
New York,2010-01-12,1.3491724614271865,winter
New York,2010-01-13,-9.316496569280396,winter
New York,2010-01-14,-5.080876831058139,winter
New York,2010-01-15,-4.415466060232819,winter
New York,2010-01-16,2.430707959807983,winter
New York,2010-01-17,6.02035036017801,winter
New York,2010-01-18,-2.3010873751102383,winter
New York,2010-01-19,-6.140043175225239,winter
New York,2010-01-20,-0.4719669871195754,winter
New York,2010-01-21,4.546215041003742,winter
New York,2010-01-22,-3.691697792491268,winter
New York,2010-01-23,-3.612160711591994,winter
New York,2010-01-24,6.902574164547972,winter
New York,2010-01-25,0.8529050613036769,winter
New York,2010-01-26,5.929480608782961,winter
New York,2010-01-27,-3.0109544533936203,winter
New York,2010-01-28,-8.059360435870499,winter
New York,2010-01-29,5.735686843431139,winter
New York,2010-01-30,1.180383484853991,winter
New York,2010-01-31,9.434543327293325,winter
New York,2010-02-01,-6.587119379631155,winter
New York,2010-02-02,-7.486444829252554,winter
New York,2010-02-03,0.6277522851345314,winter
New York,2010-02-04,0.6735755961824968,winter
New York,2010-02-05,2.761106113456917,winter
New York,2010-02-06,3.9633876024617596,winter
New York,2010-02-07,-3.5711606454847784,winter
New York,2010-02-08,-0.21216343113116876,winter
New York,2010-02-09,-2.3627484248142014,winter
New York,2010-02-10,2.966810838435306,winter
New York,2010-02-11,9.103371066515711,winter
New York,2010-02-12,9.252622252312491,winter
New York,2010-02-13,3.822592223407879,winter
New York,2010-02-14,1.9984980725763717,winter
New York,2010-02-15,3.069430334148066,winter
New York,2010-02-16,4.680088131173942,winter
New York,2010-02-17,2.2855560513429567,winter
New York,2010-02-18,-1.8629802671298903,winter
New York,2010-02-19,-12.604391148185206,winter
New York,2010-02-20,2.280159703254015,winter
New York,2010-02-21,1.2001440934019563,winter
New York,2010-02-22,-1.1313517576559475,winter
New York,2010-02-23,-0.6371819991935028,winter
New York,2010-02-24,6.972135854240582,winter
New York,2010-02-25,1.7051405114973681,winter
New York,2010-02-26,4.642475091110304,winter
New York,2010-02-27,-0.2106991432074132,winter
New York,2010-02-28,0.1003948714941226,winter
New York,2010-03-01,7.062482349619563,spring
New York,2010-03-02,12.683645589772983,spring
New York,2010-03-03,12.369482357256542,spring
New York,2010-03-04,12.232610882740826,spring
New York,2010-03-05,11.568736156455483,spring
New York,2010-03-06,5.606572974641175,spring
New York,2010-03-07,15.228313475368,spring
New York,2010-03-08,15.526108136693287,spring
New York,2010-03-09,14.222510699573728,spring
New York,2010-03-10,9.856427473274254,spring
New York,2010-03-11,12.398441812987222,spring
New York,2010-03-12,13.653016083168954,spring
New York,2010-03-13,11.056669749547577,spring
New York,2010-03-14,-0.39702288788074114,spring
New York,2010-03-15,4.17324914986533,spring
New York,2010-03-16,5.837250919624955,spring
New York,2010-03-17,3.5981435654075486,spring
New York,2010-03-18,7.612296761237678,spring
New York,2010-03-19,7.021641940942293,spring
New York,2010-03-20,4.1779147940312535,spring
New York,2010-03-21,20.39849775324844,spring
New York,2010-03-22,4.543076512176611,spring
New York,2010-03-23,11.08908851422369,spring
New York,2010-03-24,11.508619156529349,spring
New York,2010-03-25,10.46029623568426,spring
New York,2010-03-26,14.705479033334347,spring
New York,2010-03-27,14.597841907729176,spring
New York,2010-03-28,10.946217238911563,spring
